epoch,train_loss,val_loss,val_accuracy
0,0.7110190456161826,0.6692195733388265,0.59
1,0.7023290348971282,0.661264697710673,0.6
2,0.67811329881747,0.6521736482779185,0.6266666666666667
3,0.6572758199144872,0.6442598501841227,0.6166666666666667
4,0.6664827862241639,0.6227257748444875,0.68
5,0.6472419675508682,0.6159862478574117,0.64
6,0.6435029229491992,0.6369616389274597,0.64
7,0.630373574187514,0.6067921916643778,0.68
8,0.6462193125494877,0.6202219128608704,0.6433333333333333
9,0.6285783762428457,0.5998241305351257,0.6833333333333333
10,0.6264439881613183,0.5993073582649231,0.68
11,0.627818812912439,0.6048202912012736,0.6766666666666666
12,0.6175734508734797,0.5953022241592407,0.6933333333333334
13,0.6042022351786686,0.6016466518243154,0.7
14,0.6228653555589804,0.6006239950656891,0.69
15,0.6145818834212979,0.6113062997659048,0.67
16,0.6007604012305658,0.598311573266983,0.6666666666666666
17,0.6130253834153038,0.6005116899808248,0.7
18,0.6002820631576843,0.5984827180703481,0.6766666666666666
19,0.5994668496658391,0.5972388982772827,0.67
20,0.5891122451522381,0.5917703608671824,0.6966666666666667
21,0.5950485370128539,0.5855169892311096,0.7
22,0.591657408846598,0.5841829180717468,0.72
23,0.5755976390906645,0.5899559756120046,0.6833333333333333
24,0.5998657758582846,0.5715165038903555,0.7066666666666667
25,0.6121944730275027,0.5831149915854136,0.7133333333333334
26,0.6114334332704884,0.5824813842773438,0.7033333333333334
27,0.5864678303287305,0.56894884010156,0.7
28,0.5852193089677672,0.5750195483366648,0.7033333333333334
29,0.5926303971085841,0.5724991957346598,0.72
30,0.5888156909362736,0.5713254710038503,0.7066666666666667
31,0.5820904167504521,0.5605216771364212,0.7233333333333334
32,0.5670741320336596,0.5653351744016012,0.72
33,0.5699941398158733,0.5579847047726313,0.7333333333333333
34,0.5601175190633781,0.5809409916400909,0.6933333333333334
35,0.5733889566253494,0.5650845964749655,0.7233333333333334
36,0.5608552622471998,0.5595191319783529,0.7466666666666667
37,0.5569818799148782,0.5589751104513804,0.7133333333333334
38,0.5648229834271565,0.5508412271738052,0.7366666666666667
39,0.5675153756532791,0.5573254078626633,0.7266666666666667
40,0.5568702490880724,0.5553217281897863,0.72
41,0.559504104111232,0.5522507975498835,0.7133333333333334
42,0.5549974318662826,0.5432466516892115,0.72
43,0.5437115585157772,0.5438030511140823,0.74
