epoch,train_loss,val_loss,val_accuracy
0,0.6926740294006174,0.6908225119113922,0.5233333333333333
1,0.6907410875026577,0.6880970299243927,0.5666666666666667
2,0.6865018554318818,0.6845629612604777,0.57
3,0.6785790193267964,0.6754682064056396,0.6333333333333333
4,0.6763987266558213,0.673695832490921,0.62
5,0.669874838942638,0.6689499417940775,0.6233333333333333
6,0.6720170592955618,0.6647654871145884,0.6466666666666666
7,0.6564470758281659,0.6529758473237356,0.6166666666666667
8,0.6609126931420406,0.6306315759817759,0.6666666666666666
9,0.6497237213838117,0.6266909937063853,0.6533333333333333
10,0.6428316593510278,0.6240837176640829,0.6766666666666666
11,0.6376380854938578,0.6149350504080454,0.6766666666666666
12,0.6289906827002211,0.6077849368254343,0.6666666666666666
13,0.619757134206965,0.615978330373764,0.6533333333333333
14,0.6361386987690238,0.6066476702690125,0.6666666666666666
15,0.6179296616650852,0.6090500255425771,0.6666666666666666
16,0.6167173165397535,0.6050086418787638,0.7066666666666667
17,0.6190948170023876,0.6101501981417338,0.6866666666666666
18,0.5972577381491151,0.6121207972367605,0.6766666666666666
19,0.6002421801678635,0.594439297914505,0.7066666666666667
20,0.6150359983706101,0.5888465642929077,0.7066666666666667
21,0.6027052003714906,0.5797117551167806,0.7
22,0.5938765716960869,0.5818426211675009,0.7033333333333334
23,0.5870054646497446,0.5827401677767435,0.7166666666666667
24,0.5947327726067558,0.5776157776514689,0.7166666666666667
25,0.5987927604163764,0.5723526775836945,0.7333333333333333
26,0.6033372407122788,0.5817985634009043,0.71
27,0.5896753207933205,0.5797436336676279,0.7166666666666667
28,0.5827309659306231,0.5782691538333893,0.6866666666666666
29,0.5814602956197061,0.5801057517528534,0.71
30,0.5900670148209056,0.5865022440751394,0.71
31,0.5813402519501565,0.5770494242509207,0.71
32,0.5840295626756639,0.5812455515066782,0.7133333333333334
33,0.5796340053924991,0.5793143709500631,0.6966666666666667
34,0.5720829843369428,0.5883635481198629,0.6966666666666667
35,0.5872700959231476,0.5764276583989462,0.71
36,0.574939553411983,0.5671150585015615,0.7166666666666667
37,0.562424773964154,0.5652031302452087,0.7266666666666667
38,0.5779584676409925,0.5642846624056498,0.7166666666666667
39,0.5687081176102077,0.5655508836110433,0.73
40,0.5622665225269111,0.5597103734811147,0.73
41,0.5570000729360186,0.56003371377786,0.73
42,0.5670889841761977,0.5715332428614298,0.7066666666666667
43,0.5502374176887235,0.5660120646158854,0.7166666666666667
44,0.5585738871560118,0.572306364774704,0.6966666666666667
45,0.5648292245691411,0.5604740033547083,0.73
46,0.5564210870636683,0.5666162470976511,0.7266666666666667
47,0.5503470441924352,0.5667683581511179,0.7233333333333334
48,0.5447366544166408,0.5714158167441686,0.7166666666666667
49,0.5518819873836344,0.5704644670089086,0.72
50,0.5483188106228043,0.553225095073382,0.75
51,0.5456705753201255,0.5581483791271845,0.7233333333333334
52,0.554515259794774,0.576483945051829,0.7166666666666667
